"date_time","month","season","occ.sess","occasion","session","site","trt","food_trt","helm_trt","tag","firstcap","trap","x","y","caps_per_occ","traps_per_occ","sex","adult","current_breeder","ever_breeder","per","nip","preg","test","head","mass","fate","first_seen","last_seen","days_known_alive","recapped","caps_per_life","traps_per_life","res","caps_per_season","traps_per_season"
2021-06-21 06:00:00,"june","summer","2.1","2",1,"helmipollo","unfed_control","unfed","control","226075","1","D1",4,2,2,2,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,13.7,16,"R",2021-06-21 06:00:00,2021-07-22 06:00:00,31,"1",4,4,"nonresident",4,4
2021-06-22 06:00:00,"june","summer","2.3","2",3,"helmipollo","unfed_control","unfed","control","226075","0","C1",3,1,2,2,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,13.7,16,"R",2021-06-21 06:00:00,2021-07-22 06:00:00,31,"1",4,4,"nonresident",4,4
2021-07-21 06:00:00,"july","summer","3.1","3",1,"helmipollo","unfed_control","unfed","control","226075","0","F1",6,2,2,2,"F","adult","breeder","breeder","1","1","1",NA,13.2,24,"R",2021-06-21 06:00:00,2021-07-22 06:00:00,31,"1",4,4,"nonresident",4,4
2021-07-22 06:00:00,"july","summer","3.3","3",3,"helmipollo","unfed_control","unfed","control","226075","0","B1",2,2,2,2,"F","adult","breeder","breeder","1","1","1",NA,13.2,24,"R",2021-06-21 06:00:00,2021-07-22 06:00:00,31,"1",4,4,"nonresident",4,4
2021-05-24 06:00:00,"may","summer","1.3","1",3,"puro","fed_deworm","fed","deworm","226076","1","K6",11,11,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.7,20.5,"R",2021-05-24 06:00:00,2021-05-24 06:00:00,0,"0",1,1,"nonresident",1,1
2021-06-12 18:00:00,"june","summer","2.4","2",4,"radio","fed_control","fed","control","226077","1","K1",11,1,1,1,"M","juv-subA","breeder","breeder",NA,NA,NA,"1",14,17,"R",2021-06-12 18:00:00,2021-06-12 18:00:00,0,"0",1,1,"nonresident",1,1
2021-06-19 06:00:00,"june","summer","2.3","2",3,"ketunpesa","unfed_deworm","unfed","deworm","226078","1","J2",10,4,2,1,"M","juv-subA","breeder","breeder",NA,NA,NA,"1",12.8,14.5,"R",2021-06-19 06:00:00,2021-08-16 18:00:00,58.5,"1",4,3,"nonresident",4,3
2021-06-19 18:00:00,"june","summer","2.4","2",4,"ketunpesa","unfed_deworm","unfed","deworm","226078","0","J2",10,4,2,1,"M","juv-subA","breeder","breeder",NA,NA,NA,"1",12.8,14.5,"R",2021-06-19 06:00:00,2021-08-16 18:00:00,58.5,"1",4,3,"nonresident",4,3
2021-07-19 18:00:00,"july","summer","3.4","3",4,"ketunpesa","unfed_deworm","unfed","deworm","226078","0","E2",5,3,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.2,20,"R",2021-06-19 06:00:00,2021-08-16 18:00:00,58.5,"1",4,3,"nonresident",4,3
2021-08-16 18:00:00,"aug","summer","4.2","4",2,"ketunpesa","unfed_deworm","unfed","deworm","226078","0","G2",7,3,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.1,20,"R",2021-06-19 06:00:00,2021-08-16 18:00:00,58.5,"1",4,3,"nonresident",4,3
2021-06-21 18:00:00,"june","summer","2.2","2",2,"helmipollo","unfed_control","unfed","control","226079","1","A2",1,3,2,1,"M","juv-subA","breeder","breeder",NA,NA,NA,"1",12.5,16.5,"R",2021-06-21 18:00:00,2021-08-20 06:00:00,59.5,"1",5,4,"resident",5,4
2021-06-22 06:00:00,"june","summer","2.3","2",3,"helmipollo","unfed_control","unfed","control","226079","0","A2",1,3,2,1,"M","juv-subA","breeder","breeder",NA,NA,NA,"1",12.5,16.5,"R",2021-06-21 18:00:00,2021-08-20 06:00:00,59.5,"1",5,4,"resident",5,4
2021-07-21 06:00:00,"july","summer","3.1","3",1,"helmipollo","unfed_control","unfed","control","226079","0","B2",2,4,2,2,"M","juv-subA","breeder","breeder",NA,NA,NA,"1",12.9,14.5,"R",2021-06-21 18:00:00,2021-08-20 06:00:00,59.5,"1",5,4,"resident",5,4
2021-07-22 18:00:00,"july","summer","3.4","3",4,"helmipollo","unfed_control","unfed","control","226079","0","A6",1,11,2,2,"M","juv-subA","breeder","breeder",NA,NA,NA,"1",12.9,14.5,"R",2021-06-21 18:00:00,2021-08-20 06:00:00,59.5,"1",5,4,"resident",5,4
2021-08-20 06:00:00,"aug","summer","4.3","4",3,"helmipollo","unfed_control","unfed","control","226079","0","E1",5,1,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.3,18.5,"R",2021-06-21 18:00:00,2021-08-20 06:00:00,59.5,"1",5,4,"resident",5,4
2021-06-21 06:00:00,"june","summer","2.1","2",1,"helmipollo","unfed_control","unfed","control","226080","1","G1",7,1,3,2,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,13.2,15.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-06-22 06:00:00,"june","summer","2.3","2",3,"helmipollo","unfed_control","unfed","control","226080","0","K2",11,3,3,2,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,13.2,15.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-06-22 18:00:00,"june","summer","2.4","2",4,"helmipollo","unfed_control","unfed","control","226080","0","K2",11,3,3,2,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,13.2,15.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-07-21 06:00:00,"july","summer","3.1","3",1,"helmipollo","unfed_control","unfed","control","226080","0","G1",7,1,3,2,"F","adult","breeder","breeder","1","1","0",NA,13.2,27.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-07-21 18:00:00,"july","summer","3.2","3",2,"helmipollo","unfed_control","unfed","control","226080","0","K1",11,1,3,2,"F","adult","breeder","breeder","1","1","0",NA,13.2,27.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-07-22 06:00:00,"july","summer","3.3","3",3,"helmipollo","unfed_control","unfed","control","226080","0","K1",11,1,3,2,"F","adult","breeder","breeder","1","1","0",NA,13.2,27.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-08-19 06:00:00,"aug","summer","4.1","4",1,"helmipollo","unfed_control","unfed","control","226080","0","K1",11,1,3,3,"F","adult","breeder","breeder","1","1","1",NA,13.9,25.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-08-20 06:00:00,"aug","summer","4.3","4",3,"helmipollo","unfed_control","unfed","control","226080","0","G2",7,3,3,3,"F","adult","breeder","breeder","1","1","1",NA,13.9,25.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-08-20 18:00:00,"aug","summer","4.4","4",4,"helmipollo","unfed_control","unfed","control","226080","0","G1",7,1,3,3,"F","adult","breeder","breeder","1","1","1",NA,13.9,25.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",9,4
2021-09-17 06:00:00,"sept","fall","5.1","5",1,"helmipollo","unfed_control","unfed","control","226080","0","J3",10,6,4,2,"F","adult","breeder","breeder","1","1","0",NA,12.7,18.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-09-17 18:00:00,"sept","fall","5.2","5",2,"helmipollo","unfed_control","unfed","control","226080","0","J3",10,6,4,2,"F","adult","breeder","breeder","1","1","0",NA,12.7,18.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-09-18 06:00:00,"sept","fall","5.3","5",3,"helmipollo","unfed_control","unfed","control","226080","0","H2",8,4,4,2,"F","adult","breeder","breeder","1","1","0",NA,12.7,18.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-09-18 18:00:00,"sept","fall","5.4","5",4,"helmipollo","unfed_control","unfed","control","226080","0","H2",8,4,4,2,"F","adult","breeder","breeder","1","1","0",NA,12.7,18.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-10-16 06:00:00,"oct","fall","6.1","6",1,"helmipollo","unfed_control","unfed","control","226080","0","E1",5,1,4,4,"F","adult","breeder","breeder","1","1","0",NA,13,21.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-10-16 18:00:00,"oct","fall","6.2","6",2,"helmipollo","unfed_control","unfed","control","226080","0","F1",6,2,4,4,"F","adult","breeder","breeder","1","1","0",NA,13,21.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-10-17 06:00:00,"oct","fall","6.3","6",3,"helmipollo","unfed_control","unfed","control","226080","0","G2",7,3,4,4,"F","adult","breeder","breeder","1","1","0",NA,13,21.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-10-17 18:00:00,"oct","fall","6.4","6",4,"helmipollo","unfed_control","unfed","control","226080","0","H1",8,2,4,4,"F","adult","breeder","breeder","1","1","0",NA,13,21.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",17,9,"resident",8,6
2021-06-14 06:00:00,"june","summer","2.1","2",1,"kiirastuli","unfed_deworm","unfed","deworm","226081","1","C1",3,1,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.3,25.5,"R",2021-06-14 06:00:00,2021-06-14 06:00:00,0,"0",1,1,"nonresident",1,1
2021-06-11 06:00:00,"june","summer","2.1","2",1,"janakkala","fed_deworm","fed","deworm","226082","1","K4",11,7,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",14.5,24,"R",2021-06-11 06:00:00,2021-06-11 06:00:00,0,"0",1,1,"nonresident",1,1
2021-05-14 18:00:00,"may","summer","1.2","1",2,"janakkala","fed_deworm","fed","deworm","226083","1","H4",8,8,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.2,21,"R",2021-05-14 18:00:00,2021-05-14 18:00:00,0,"0",1,1,"nonresident",1,1
2021-06-15 06:00:00,"june","summer","2.3","2",3,"kiirastuli","unfed_deworm","unfed","deworm","226084","1","K2",11,3,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",14.6,24.5,"R",2021-06-15 06:00:00,2021-06-15 06:00:00,0,"0",1,1,"nonresident",1,1
2021-06-14 06:00:00,"june","summer","2.1","2",1,"talo","fed_deworm","fed","deworm","226085","1","H3",8,6,2,2,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,12.6,14,"R",2021-06-14 06:00:00,2021-07-15 06:00:00,31,"1",4,4,"nonresident",4,4
2021-06-15 18:00:00,"june","summer","2.4","2",4,"talo","fed_deworm","fed","deworm","226085","0","D3",4,6,2,2,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,12.6,14,"R",2021-06-14 06:00:00,2021-07-15 06:00:00,31,"1",4,4,"nonresident",4,4
2021-07-14 06:00:00,"july","summer","3.1","3",1,"talo","fed_deworm","fed","deworm","226085","0","F4",6,8,2,2,"F","adult","breeder","breeder","1","1","0",NA,13.5,26.5,"R",2021-06-14 06:00:00,2021-07-15 06:00:00,31,"1",4,4,"nonresident",4,4
2021-07-15 06:00:00,"july","summer","3.3","3",3,"talo","fed_deworm","fed","deworm","226085","0","E4",5,7,2,2,"F","adult","breeder","breeder","1","1","1",NA,13.5,26.5,"R",2021-06-14 06:00:00,2021-07-15 06:00:00,31,"1",4,4,"nonresident",4,4
2021-06-15 18:00:00,"june","summer","2.4","2",4,"asema","unfed_control","unfed","control","226086","1","B1",2,2,1,1,"F","adult","breeder","breeder","1","1","0",NA,14,22.5,"R",2021-06-15 18:00:00,2021-06-15 18:00:00,0,"0",1,1,"nonresident",1,1
2021-06-21 06:00:00,"june","summer","2.1","2",1,"vaarinkorpi","fed_control","fed","control","226087","1","G2",7,3,1,1,"F","juv-subA","nonbreeder","breeder","1","0","0",NA,13.4,15,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-07-21 06:00:00,"july","summer","3.1","3",1,"vaarinkorpi","fed_control","fed","control","226087","0","F1",6,2,4,3,"F","adult","nonbreeder","breeder","1","0","0",NA,14.4,24,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-07-21 18:00:00,"july","summer","3.2","3",2,"vaarinkorpi","fed_control","fed","control","226087","0","G2",7,3,4,3,"F","adult","nonbreeder","breeder","1","0","0",NA,14.4,24,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-07-22 06:00:00,"july","summer","3.3","3",3,"vaarinkorpi","fed_control","fed","control","226087","0","F2",6,4,4,3,"F","adult","nonbreeder","breeder","1","0","0",NA,14.4,24,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-07-22 18:00:00,"july","summer","3.4","3",4,"vaarinkorpi","fed_control","fed","control","226087","0","F2",6,4,4,3,"F","adult","nonbreeder","breeder","1","0","0",NA,14.4,24,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-08-19 06:00:00,"aug","summer","4.1","4",1,"vaarinkorpi","fed_control","fed","control","226087","0","G2",7,3,4,2,"F","adult","breeder","breeder","1","1","1",NA,14.5,28.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-08-19 18:00:00,"aug","summer","4.2","4",2,"vaarinkorpi","fed_control","fed","control","226087","0","G2",7,3,4,2,"F","adult","breeder","breeder","1","1","1",NA,14.5,27.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-08-20 06:00:00,"aug","summer","4.3","4",3,"vaarinkorpi","fed_control","fed","control","226087","0","F3",6,6,4,2,"F","adult","breeder","breeder","1","1","1",NA,14.5,27.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-08-20 18:00:00,"aug","summer","4.4","4",4,"vaarinkorpi","fed_control","fed","control","226087","0","G2",7,3,4,2,"F","adult","breeder","breeder","1","1","1",NA,14.5,27.5,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",9,4
2021-09-17 06:00:00,"sept","fall","5.1","5",1,"vaarinkorpi","fed_control","fed","control","226087","0","K1",11,1,2,2,"F","adult","nonbreeder","breeder","1","0","0",NA,13.4,20,"R",2021-06-21 06:00:00,2021-10-17 18:00:00,118.5,"1",15,7,"resident",6,3
